Name,Url,Ratings,Price
Apple MacBook Air Core i5 5th Gen - (8 GB/128 GB SSD/Mac OS Sierra) A1466,/apple-macbook-air-core-i5-5th-gen-8-gb-128-gb-ssd-mac-os-sierra-a1466/p/itmej84kr9dyg3gz?pid=COMEJ84KCFWGSGPZ&srno=s_1_1&otracker=search&lid=LSTCOMEJ84KCFWGSGPZBM4OYZ&qH=e1dadd2eac76bb48,"2,680 Ratings ","₹56,990"
Apple MacBook Pro Core i7 5th Gen - (16 GB/256 GB SSD/OS X El Capitan) MJLQ2HN/A,/apple-macbook-pro-core-i7-5th-gen-16-gb-256-gb-ssd-os-x-el-capitan-mjlq2hn-a/p/itme9wkwgsxehz3q?pid=COME9WKWFJHVFVFZ&srno=s_1_2&otracker=search&lid=LSTCOME9WKWFJHVFVFZJ9F6QL&qH=e1dadd2eac76bb48,32 Ratings ,"₹139,990"
Apple Macbook Pro Core i7 - (16 GB/512 GB SSD/Mac OS Sierra/2 GB Graphics) MLH42HN/A,/apple-macbook-pro-core-i7-16-gb-512-gb-ssd-mac-os-sierra-2-graphics-mlh42hn-a/p/itmezxbet6yzr652?pid=COMEZXBEGWKMTYQA&srno=s_1_3&otracker=search&lid=LSTCOMEZXBEGWKMTYQAQMKFOS&qH=e1dadd2eac76bb48,75 Ratings ,"₹230,000"
Apple MacBook Pro Core i5 - (8 GB/128 GB SSD/OS X Yosemite) MF839HN/A,/apple-macbook-pro-core-i5-8-gb-128-gb-ssd-os-x-yosemite-mf839hn-a/p/itme6h4eevcshyvs?pid=COME6H4EHXFNHRYJ&srno=s_1_4&otracker=search&lid=LSTCOME6H4EHXFNHRYJC8ZSAC&qH=e1dadd2eac76bb48,117 Ratings ,"₹95,299"
Apple Macbook Pro Core i7 - (16 GB/256 GB SSD/Mac OS Sierra/2 GB Graphics) MLH32HN/A,/apple-macbook-pro-core-i7-16-gb-256-gb-ssd-mac-os-sierra-2-graphics-mlh32hn-a/p/itmezxbezex2wsge?pid=COMEZXBEPGY8GRXU&srno=s_1_5&otracker=search&lid=LSTCOMEZXBEPGY8GRXU33EOSS&qH=e1dadd2eac76bb48,72 Ratings ,"₹205,900"
Apple Macbook Pro Core i7 - (16 GB/512 GB SSD/Mac OS Sierra/2 GB Graphics) MLW82HN/A,/apple-macbook-pro-core-i7-16-gb-512-gb-ssd-mac-os-sierra-2-graphics-mlw82hn-a/p/itmezxbezzyezzxh?pid=COMEZXBEAYH5RGPU&srno=s_1_6&otracker=search&lid=LSTCOMEZXBEAYH5RGPUPMMHYA&qH=e1dadd2eac76bb48,33 Ratings ,"₹226,000"
Apple Macbook Pro Core i7 - (16 GB/256 GB SSD/Mac OS Sierra/2 GB Graphics) MLW72HN/A,/apple-macbook-pro-core-i7-16-gb-256-gb-ssd-mac-os-sierra-2-graphics-mlw72hn-a/p/itmezxbepqhrsefb?pid=COMEZXB9NCKHYXHH&srno=s_1_7&otracker=search&lid=LSTCOMEZXB9NCKHYXHHBISRME&qH=e1dadd2eac76bb48,12 Ratings ,"₹199,000"
Apple MacBook Air Core i5 5th gen - (8 GB/256 GB SSD/OS X El Capitan) MMGG2HN/A,/apple-macbook-air-core-i5-5th-gen-8-gb-256-gb-ssd-os-x-el-capitan-mmgg2hn-a/p/itmeju2csfyzdffv?pid=COMEJU2CYHUQABGF&srno=s_1_8&otracker=search&lid=LSTCOMEJU2CYHUQABGF4USH0Q&qH=e1dadd2eac76bb48,117 Ratings ,"₹74,888"
Apple Macbook Pro Core i5 - (8 GB/512 GB SSD/Mac OS Sierra) MNQF2HN/A,/apple-macbook-pro-core-i5-8-gb-512-gb-ssd-mac-os-sierra-mnqf2hn-a/p/itmezxbezbsv4pyz?pid=COMEZXBE6JUDZGTY&srno=s_1_9&otracker=search&lid=LSTCOMEZXBE6JUDZGTYMJ6G85&qH=e1dadd2eac76bb48,10 Ratings ,"₹157,888"
Apple Macbook Pro Core i5 - (8 GB/256 GB SSD/Mac OS Sierra) MLUQ2HN/A,/apple-macbook-pro-core-i5-8-gb-256-gb-ssd-mac-os-sierra-mluq2hn-a/p/itmezxbezm4rwfrk?pid=COMEZXB9ZJNFD6PQ&srno=s_1_10&otracker=search&lid=LSTCOMEZXB9ZJNFD6PQL0PXNK&qH=e1dadd2eac76bb48,9 Ratings ,"₹118,449"
Apple Macbook Pro Core i5 - (4 GB/500 GB HDD/OS X Mavericks) A1278,/apple-macbook-pro-core-i5-4-gb-500-gb-hdd-os-x-mavericks-a1278/p/itmdzmykfnyqzz6n?pid=COMDMKKAHYGRF9TM&srno=s_1_11&otracker=search&lid=LSTCOMDMKKAHYGRF9TMTLZ4OI&qH=e1dadd2eac76bb48,"1,255 Ratings ","₹73,786"
Apple Macbook Pro Core i5 - (8 GB/256 GB SSD/Mac OS Sierra) MLVP2HN/A,/apple-macbook-pro-core-i5-8-gb-256-gb-ssd-mac-os-sierra-mlvp2hn-a/p/itmezxbers2h8nxq?pid=COMEZXBEQJHF9ZW8&srno=s_1_12&otracker=search&lid=LSTCOMEZXBEQJHF9ZW8YPYFIH&qH=e1dadd2eac76bb48,32 Ratings ,"₹144,900"
